Zip Code,Population
22193,"82,309"
23464,"76,421"
22191,"71,019"
23462,"65,906"
23322,"64,972"
20147,"63,878"
22003,"59,375"
22030,"59,332"
23452,"58,996"
23454,"58,904"
22407,"58,826"
22192,"58,690"
23320,"57,619"
22554,"57,447"
24060,"55,676"
22204,"54,617"
23456,"54,337"
23112,"53,168"
20176,"52,862"
23223,"52,309"
23666,"52,249"
20148,"51,243"
20171,"51,093"
23434,"49,625"
23455,"49,263"
22304,"48,510"
23185,"47,894"
20110,"47,574"
24502,"46,044"
23234,"44,783"
22015,"44,523"
23188,"44,499"
23451,"43,230"
20109,"43,093"
23608,"43,058"
23225,"42,937"
20170,"42,690"
20164,"41,684"
22801,"41,572"
20120,"41,312"
23323,"41,074"
23669,"40,996"
22903,"40,652"
23224,"40,546"
22033,"39,478"
23602,"38,821"
22201,"38,541"
24018,"38,341"
23832,"38,329"
23803,"38,187"
24153,"37,849"
23060,"37,554"
22309,"37,464"
23111,"36,846"
20155,"36,642"
23231,"36,564"
22079,"36,559"
20111,"36,375"
23321,"36,212"
23059,"36,070"
23831,"35,964"
24401,"35,718"
23228,"35,704"
22701,"35,495"
22306,"35,425"
22901,"35,372"
23229,"35,325"
20152,"35,302"
22042,"35,174"
23453,"35,019"
23220,"34,934"
20175,"34,857"
22314,"34,378"
22031,"33,379"
22207,"33,170"
23235,"32,627"
22312,"32,566"
22310,"32,380"
22980,"32,337"
22630,"32,321"
23503,"31,915"
20165,"31,912"
22405,"31,747"
24540,"31,607"
23233,"31,605"
22032,"31,201"
22153,"31,196"
23116,"31,059"
24073,"30,710"
23435,"30,626"
22152,"30,624"
23860,"30,524"
23513,"30,384"
22408,"30,285"
23505,"30,270"
24012,"30,220"
20191,"30,181"
22101,"29,892"
20136,"29,875"
22602,"29,616"
22315,"29,470"
24112,"29,448"
20121,"29,426"
22556,"29,386"
23518,"29,301"
22802,"29,069"
22601,"28,925"
22150,"28,905"
23606,"28,772"
22401,"28,622"
22041,"28,429"
24501,"28,036"
24019,"27,722"
23222,"27,212"
23703,"26,655"
20112,"26,648"
22406,"26,256"
23238,"26,132"
22182,"26,124"
23834,"26,017"
23227,"25,931"
22102,"25,627"
24551,"25,625"
20169,"25,619"
22485,"25,606"
22202,"25,409"
22902,"25,245"
20105,"25,168"
23113,"25,021"
23601,"25,005"
22043,"24,806"
23237,"24,711"
23139,"24,647"
22180,"24,366"
23693,"24,311"
22203,"24,309"
23236,"24,286"
23701,"23,951"
23324,"23,893"
24017,"23,699"
23504,"23,330"
20151,"23,068"
23607,"23,067"
24141,"22,989"
22655,"21,982"
23508,"21,697"
23502,"21,363"
23061,"21,271"
22206,"20,508"
24151,"20,436"
20190,"19,950"
24523,"19,711"
23114,"19,628"
22551,"19,571"
23805,"19,440"
24503,"19,349"
22311,"19,002"
22205,"18,982"
22025,"18,909"
20187,"18,738"
22046,"18,698"
22305,"18,579"
22124,"18,530"
23901,"18,397"
23692,"18,273"
24179,"18,258"
23294,"18,091"
20132,"18,053"
22151,"17,917"
24333,"17,768"
22066,"17,767"
23005,"17,602"
22039,"17,598"
23704,"17,592"
22302,"17,566"
22911,"17,441"
23430,"17,245"
24450,"17,140"
24572,"16,691"
23838,"16,666"
24014,"16,605"
22963,"16,571"
22026,"16,465"
23226,"16,458"
24210,"16,337"
22546,"16,334"
24201,"16,252"
23325,"16,250"
22603,"16,030"
22553,"15,761"
23847,"15,717"
22181,"15,350"
20124,"15,114"
23221,"14,842"
20186,"14,839"
22508,"14,750"
23707,"14,685"
24015,"14,677"
22303,"14,558"
24301,"14,164"
23093,"13,992"
24354,"13,934"
23605,"13,801"
23836,"13,787"
24382,"13,780"
23511,"13,773"
22044,"13,616"
22308,"13,610"
23509,"13,567"
23663,"13,528"
24426,"13,451"
23851,"13,437"
22301,"13,377"
24592,"13,342"
22209,"13,227"
23150,"12,862"
23661,"12,812"
20194,"12,467"
24055,"12,402"
23072,"12,377"
23875,"12,313"
20166,"12,236"
23662,"12,066"
22835,"11,593"
24219,"11,393"
24121,"11,145"
24202,"11,127"
23702,"11,020"
24084,"11,002"
24477,"10,894"
22657,"10,738"
22968,"10,562"
23120,"10,478"
22827,"10,289"
22960,"10,079"
24211,"10,032"
23002,"9,986"
24588,"9,936"
22172,"9,934"
22307,"9,902"
24521,"9,830"
22942,"9,774"
24504,"9,765"
24343,"9,597"
23664,"9,593"
24293,"9,575"
22060,"9,489"
22664,"9,457"
23075,"9,414"
23117,"9,353"
20181,"9,350"
22815,"9,337"
23314,"9,261"
24522,"9,206"
22712,"9,094"
24266,"8,986"
22611,"8,954"
22812,"8,952"
23510,"8,913"
22443,"8,872"
24531,"8,818"
24016,"8,759"
24416,"8,756"
23970,"8,616"
23024,"8,502"
24013,"8,478"
24148,"8,475"
24171,"8,327"
24251,"8,275"
23936,"8,215"
24175,"8,142"
24230,"8,092"
24605,"7,870"
20141,"7,853"
24590,"7,779"
24091,"7,739"
22932,"7,721"
20180,"7,705"
23168,"7,703"
24557,"7,696"
23523,"7,561"
22134,"7,537"
24078,"7,527"
24550,"7,272"
24319,"7,228"
22572,"7,227"
24614,"7,198"
24630,"7,148"
20115,"7,142"
24609,"7,136"
23141,"7,026"
23868,"6,986"
24277,"6,906"
23192,"6,903"
23604,"6,900"
23230,"6,871"
24370,"6,821"
23507,"6,795"
23009,"6,629"
23824,"6,476"
23842,"6,458"
24228,"6,449"
22560,"6,435"
23140,"6,431"
22939,"6,369"
24054,"6,367"
23665,"6,363"
24101,"6,290"
22824,"6,253"
24441,"6,190"
24065,"6,098"
24273,"6,072"
22851,"6,057"
24340,"6,050"
24422,"5,924"
22973,"5,915"
24244,"5,881"
24263,"5,875"
24224,"5,866"
24558,"5,813"
24360,"5,802"
24361,"5,795"
22727,"5,765"
23801,"5,763"
23487,"5,728"
23089,"5,695"
24651,"5,665"
22923,"5,653"
22520,"5,636"
23924,"5,625"
23974,"5,608"
24538,"5,591"
23103,"5,525"
24641,"5,489"
24088,"5,472"
22821,"5,428"
22842,"5,374"
22427,"5,349"
24260,"5,340"
22849,"5,318"
24066,"5,295"
24563,"5,290"
24482,"5,267"
24368,"5,252"
24279,"5,247"
23181,"5,232"
24134,"5,200"
22974,"5,115"
20106,"5,087"
22580,"5,074"
22473,"5,061"
24064,"5,046"
24090,"5,028"
22642,"5,022"
23930,"4,919"
22936,"4,891"
22904,"4,834"
22844,"4,802"
24124,"4,785"
23030,"4,765"
24348,"4,760"
23040,"4,747"
24517,"4,743"
24577,"4,720"
23063,"4,720"
22840,"4,679"
20158,"4,610"
24184,"4,586"
23922,"4,551"
23517,"4,543"
23124,"4,526"
23219,"4,504"
23421,"4,423"
23837,"4,406"
23890,"4,396"
23690,"4,374"
23310,"4,351"
24095,"4,332"
23437,"4,308"
22645,"4,279"
23457,"4,180"
23927,"4,074"
24421,"4,029"
24574,"4,009"
22853,"3,982"
22947,"3,956"
24554,"3,952"
23947,"3,927"
23603,"3,907"
24317,"3,903"
22920,"3,876"
23950,"3,870"
24127,"3,860"
23015,"3,853"
20119,"3,850"
24430,"3,829"
24381,"3,826"
24549,"3,805"
24087,"3,789"
23420,"3,739"
22213,"3,713"
23696,"3,696"
24637,"3,683"
23086,"3,638"
24315,"3,563"
22567,"3,552"
23350,"3,551"
22656,"3,527"
22734,"3,480"
24256,"3,471"
22625,"3,469"
24104,"3,452"
23417,"3,438"
24639,"3,412"
24149,"3,401"
22737,"3,348"
23958,"3,318"
23102,"3,312"
24486,"3,304"
23841,"3,266"
23146,"3,257"
22534,"3,228"
24556,"3,218"
22503,"3,208"
20135,"3,187"
22482,"3,173"
24589,"3,170"
22807,"3,161"
24136,"3,156"
24528,"3,126"
23149,"3,116"
23944,"3,096"
24236,"3,092"
23923,"3,083"
24330,"3,078"
23920,"2,975"
24440,"2,948"
24620,"2,932"
24083,"2,910"
24656,"2,906"
23336,"2,899"
24174,"2,898"
24527,"2,884"
23069,"2,883"
22728,"2,834"
22624,"2,816"
24445,"2,798"
22735,"2,764"
22841,"2,747"
24142,"2,745"
23840,"2,719"
24216,"2,712"
24649,"2,705"
24380,"2,696"
22620,"2,653"
23083,"2,616"
24431,"2,571"
23160,"2,557"
23872,"2,549"
23885,"2,542"
24137,"2,530"
22578,"2,526"
22576,"2,513"
22843,"2,492"
24281,"2,483"
22435,"2,471"
20197,"2,467"
24248,"2,465"
23829,"2,454"
24092,"2,445"
22637,"2,443"
24089,"2,440"
23919,"2,436"
23888,"2,420"
24162,"2,381"
22644,"2,376"
24067,"2,368"
24467,"2,363"
24631,"2,334"
22937,"2,320"
24271,"2,319"
24571,"2,310"
20117,"2,295"
22846,"2,291"
23966,"2,286"
24225,"2,283"
24520,"2,261"
24593,"2,260"
24133,"2,258"
23062,"2,246"
24555,"2,245"
22539,"2,234"
23173,"2,227"
23833,"2,216"
22514,"2,195"
23898,"2,190"
22922,"2,145"
24085,"2,139"
23882,"2,136"
23308,"2,133"
24283,"2,130"
23891,"2,112"
22724,"2,102"
23109,"2,084"
23883,"2,065"
24529,"2,050"
22967,"2,048"
23043,"2,036"
24435,"2,028"
23460,"2,024"
23881,"2,023"
23821,"2,016"
22027,"2,003"
22958,"1,998"
23866,"1,974"
24290,"1,968"
24128,"1,948"
24243,"1,948"
22660,"1,943"
23867,"1,930"
23123,"1,922"
20198,"1,905"
23084,"1,897"
22742,"1,889"
24375,"1,888"
23047,"1,888"
22830,"1,867"
22969,"1,866"
24324,"1,853"
24070,"1,827"
24079,"1,817"
23156,"1,811"
23148,"1,799"
23438,"1,795"
23937,"1,794"
22952,"1,792"
24471,"1,791"
22542,"1,761"
22971,"1,749"
24328,"1,748"
22454,"1,746"
22469,"1,738"
22610,"1,735"
24472,"1,722"
23301,"1,721"
22713,"1,721"
24312,"1,678"
24598,"1,677"
23954,"1,663"
24069,"1,644"
23806,"1,640"
24347,"1,619"
24138,"1,618"
23415,"1,603"
24122,"1,600"
24594,"1,600"
24258,"1,577"
23175,"1,575"
23830,"1,565"
24102,"1,552"
22652,"1,543"
23960,"1,541"
24479,"1,539"
20137,"1,527"
23071,"1,523"
23035,"1,518"
22738,"1,513"
23038,"1,513"
23432,"1,506"
23827,"1,491"
24553,"1,489"
24120,"1,477"
24311,"1,475"
23065,"1,472"
23459,"1,430"
24635,"1,420"
24147,"1,418"
22709,"1,414"
22940,"1,406"
24314,"1,403"
24566,"1,386"
22959,"1,380"
22938,"1,378"
23153,"1,372"
22747,"1,367"
22211,"1,353"
23011,"1,345"
22460,"1,344"
23410,"1,326"
22729,"1,312"
24250,"1,309"
23921,"1,297"
23964,"1,278"
24526,"1,264"
23442,"1,263"
24165,"1,259"
24176,"1,257"
24579,"1,256"
23942,"1,239"
24465,"1,239"
22715,"1,230"
24439,"1,227"
23915,"1,215"
23433,"1,214"
23315,"1,213"
23850,"1,211"
24534,"1,208"
22831,"1,199"
23959,"1,198"
23551,"1,189"
23356,"1,187"
24460,"1,182"
24350,"1,179"
24226,"1,154"
24597,"1,151"
23967,"1,137"
22714,"1,133"
23027,"1,116"
22663,"1,108"
22850,"1,102"
20144,"1,086"
22832,"1,085"
24599,"1,083"
23169,"1,069"
22949,"1,066"
23039,"1,056"
22834,"1,055"
24220,"1,049"
22720,"1,030"
24326,"1,030"
24072,"1,029"
24325,"1,020"
23106,"1,019"
23436,"1,019"
24378,998
23878,989
22623,966
22935,965
23418,963
22125,955
24569,938
23839,936
24530,932
24578,926
23874,924
23405,923
23022,917
22733,917
24313,917
23856,907
24323,893
24473,889
22437,888
22654,875
22740,873
23076,872
22511,871
24282,865
24237,865
22847,861
22488,860
24059,853
23846,852
24280,850
24352,839
24622,839
23962,830
23407,828
20143,827
24150,820
24565,815
22736,810
23894,807
24270,793
24374,791
24077,769
23129,767
24603,766
23306,766
23055,763
24245,757
23004,750
23889,748
23357,747
22726,743
22436,736
23347,730
24459,728
24272,716
24265,707
23128,707
24437,705
23307,704
22627,704
23857,687
23709,686
23050,685
23023,675
24474,672
24602,670
23359,666
23177,664
24082,650
22480,647
22448,646
24646,642
24595,639
23413,639
23180,633
24020,632
23138,625
22811,619
22810,613
23844,612
23968,604
24318,599
24221,596
22976,587
23303,587
24483,582
23092,568
24613,560
23395,558
23085,557
22535,554
24484,549
24366,548
22639,544
22943,538
24580,531
22718,528
24562,526
23934,524
20129,522
23316,521
23845,519
24011,518
23897,516
22548,511
23708,508
22716,507
23440,506
24161,505
22650,499
20184,496
23126,496
24246,492
23651,479
24105,468
24634,462
22640,459
24185,458
23461,453
24351,447
23909,447
23337,430
23056,428
22433,427
23423,419
23843,417
23032,413
23079,409
24458,401
23125,401
24292,392
24269,390
24168,385
23110,385
22504,384
24657,381
23480,380
23176,370
23488,366
22641,359
24139,359
22438,358
23828,333
24485,333
23899,330
24377,329
23070,328
23021,322
24487,322
23119,319
23887,307
22964,298
22643,289
22820,287
24536,286
24432,286
24132,282
24217,278
22931,273
24413,269
23876,267
22972,267
22743,259
24448,256
22719,255
24607,254
23064,253
23187,251
24628,250
23091,245
20139,245
22722,244
24058,242
22432,241
24239,241
23427,238
23952,238
22476,238
20130,236
23938,233
22749,228
24476,225
23130,223
22730,223
23389,221
22732,217
24606,209
24457,207
24167,206
23068,195
24604,189
23313,184
23025,179
23414,174
24464,168
22530,168
23416,166
24612,165
22741,165
22948,165
23302,162
23354,159
23409,158
22529,154
23691,152
23401,151
23422,147
22946,138
23045,134
23441,125
24442,123
22723,121
22538,121
24086,113
23161,111
22509,102
24093,101
23066,100
24322,99
23426,94
23358,89
23108,89
23963,88
22646,83
24539,80
24433,73
22579,71
23408,69
23943,54
24411,52
23115,49
22731,39
23884,38
23304,36
23976,34
23398,31
24412,27
24581,27
23163,27
22711,26
23486,23
22989,17
24130,15
24131,10
22845,9
20118,7
